,ts,target
166,"[-6.76731612e-23 -1.55436232e-24 -1.38948901e-22 ...  2.18739937e-22
 -2.17346311e-22  7.50970073e-23]",0
167,"[ 5.36960615e-23  6.88125264e-23  6.16683827e-24 ...  2.37835375e-23
 -1.32692176e-23  3.38783791e-23]",0
168,"[-3.37256533e-22 -2.94479884e-22 -3.77016433e-23 ...  1.42844204e-22
  1.76171748e-23  2.07912661e-22]",1
169,"[-2.66873157e-23  1.35682968e-22 -1.08668376e-22 ... -3.58135778e-23
 -4.28393324e-22  5.93128009e-23]",1
170,"[ 4.43967502e-23 -2.81994572e-22  1.13652964e-22 ... -2.13981134e-22
 -2.61770529e-22  4.13076926e-22]",1
171,"[-1.36631887e-22  6.35214903e-23  1.44006352e-23 ...  1.57633041e-22
 -1.00089287e-22 -1.47565462e-22]",1
172,"[-3.80833576e-23  1.87168527e-22 -1.75448826e-22 ...  9.70378862e-23
 -1.53870503e-22  1.11947364e-22]",1
173,"[-6.64892556e-23 -1.36680527e-22  6.50796026e-23 ... -4.13684038e-23
  3.49610329e-23  1.28329388e-22]",0
174,"[-1.80418576e-23 -2.70486253e-22  2.69231685e-22 ... -5.37318039e-23
  1.86639583e-22 -2.61532227e-22]",0
175,"[ 1.94769479e-22 -1.79636345e-22  6.15186769e-23 ... -1.54331632e-22
  4.12398892e-23 -1.78821479e-22]",1
176,"[ 4.53742048e-22 -3.41821667e-22 -1.46539480e-22 ... -1.13951441e-22
 -1.70143298e-23 -1.49476634e-22]",1
177,"[ 1.35600037e-23 -3.34183064e-23  1.09496331e-22 ...  7.50067485e-23
  4.14959116e-23 -5.08319242e-23]",1
178,"[ 1.08695918e-22  8.91732148e-23 -1.31891706e-23 ...  1.11127581e-23
  1.03079343e-22 -1.49618184e-22]",1
179,"[ 9.41153814e-23 -1.83401921e-22  7.17613050e-23 ...  4.05348770e-23
 -3.08319696e-23  7.37163385e-23]",1
180,"[ 9.99535546e-23 -1.31350657e-23  1.10988802e-23 ...  6.02819129e-23
  1.08386200e-22 -6.41711440e-23]",0
181,"[-4.44420363e-23  8.24255099e-23  1.30155300e-22 ... -5.80868687e-23
  1.03487531e-22  8.97148716e-24]",0
182,"[ 2.27903585e-22 -7.85447325e-23  3.05592647e-22 ...  1.15871434e-22
  4.13273121e-22 -2.15338337e-22]",1
183,"[ 6.18899112e-23  2.41116939e-22 -6.07692360e-23 ...  1.92552597e-23
  1.67597085e-23  1.57019767e-22]",1
184,"[-2.02292550e-22  2.97630034e-22 -1.29413764e-22 ...  1.14694461e-22
  3.01445919e-22 -1.14639971e-22]",1
185,"[-1.56232314e-22 -1.13446539e-22  2.76184709e-22 ...  9.23115677e-23
  2.13965770e-22 -1.32368048e-22]",1
186,"[ 1.80129416e-22 -2.54998149e-22  2.03842866e-22 ...  1.98981157e-22
  3.07158355e-22  3.30437435e-24]",1
187,"[ 4.99191213e-22  5.45332373e-23  1.03236875e-22 ...  4.73201410e-23
 -6.42275273e-23 -2.51100425e-23]",0
188,"[-1.47903530e-22 -3.22251441e-22  1.80077347e-22 ...  1.17941625e-22
  3.78967803e-22 -2.46402282e-22]",0
189,"[ 1.90904596e-22 -1.53213112e-22  1.43617092e-22 ... -2.45983781e-23
  2.22711741e-23  5.80033119e-24]",1
190,"[-1.60496511e-22 -1.44380363e-22  1.96017449e-22 ... -2.66650574e-22
  9.04762707e-23 -1.17635312e-22]",1
191,"[-2.76155458e-23 -3.41589624e-23  3.33809334e-24 ...  4.86714805e-23
 -7.30293916e-23  7.23669682e-23]",1
192,"[-1.62728473e-22 -8.17340729e-24  2.34389427e-22 ... -1.30668363e-22
 -1.12783713e-22  1.26585405e-22]",1
193,"[-2.44777646e-24 -4.98834136e-23 -2.32400177e-22 ...  1.95459311e-22
 -1.20830924e-22  1.32813586e-22]",1
194,"[ 4.73034309e-23  5.80692987e-24 -8.10277780e-23 ... -9.54310733e-23
  6.70829103e-23  1.44934723e-22]",0
195,"[-1.28943568e-23  8.21805269e-23  2.27042176e-22 ...  1.14773464e-22
 -3.19883938e-22  1.08589626e-22]",0
196,"[-3.03701717e-22  2.44732997e-22 -1.15191381e-22 ...  5.67211567e-23
  1.11658705e-22 -2.61631429e-23]",1
197,"[-7.33421858e-23  1.23413756e-22 -5.44602155e-24 ... -1.78747880e-22
 -7.95740519e-23  1.61946500e-22]",1
198,"[ 3.31240646e-22 -1.45066667e-22  1.96269979e-22 ... -4.78914806e-22
  1.46197547e-22  5.24064100e-23]",1
199,"[-1.61444190e-23  7.92214810e-25 -1.97685534e-22 ...  9.58566259e-25
  5.07936891e-23  6.28113886e-23]",1
200,"[-1.21803256e-22  1.56252111e-23 -7.04933261e-23 ...  2.10033392e-22
 -2.12047457e-22  2.54816948e-22]",1
201,"[-2.02544757e-22  1.00064140e-22 -8.67533992e-23 ... -1.06546319e-22
 -7.75133214e-23 -3.92465584e-23]",0
202,"[ 1.90324758e-22  1.81636525e-22 -2.67245780e-22 ...  9.47551859e-23
  5.18491248e-23 -1.95177676e-22]",0
203,"[ 5.17242853e-22  1.70741529e-23  1.94691163e-22 ... -1.86495758e-23
 -1.78290112e-22 -5.37515442e-23]",1
